Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2010-10-12,0.5141013,-0.9336625,-0.16955543,-0.3050452,0.29147503,-0.3284444,0.93179935,-0.29137865,0.47743627,-0.046253286,-0.5746467,-0.33626238,0.27750883,0.8485637,-0.645206,0.76049507
2010-10-13,0.5156748,-0.9401167,-0.17214535,-0.28502655,0.29953212,-0.36321968,0.9308009,-0.30453408,0.45070368,-0.030273082,-0.57999974,-0.31160375,0.29220447,0.8568408,-0.6840954,0.78290784
2010-10-14,0.5134572,-0.9437305,-0.16823843,-0.25919905,0.29519063,-0.38621834,0.9252171,-0.32110417,0.42108724,-0.020882104,-0.58952695,-0.28652346,0.30227816,0.8590555,-0.7213621,0.79565597
2010-10-15,0.5121569,-0.9466801,-0.17478992,-0.23140189,0.26087007,-0.38957056,0.9255107,-0.32868972,0.39801055,-0.008896672,-0.5968367,-0.2672451,0.31931025,0.8671691,-0.743838,0.81582654
2010-10-18,0.5322941,-0.94722134,-0.18651408,-0.22457014,0.2453552,-0.40556356,0.9248656,-0.32416916,0.372566,0.007048197,-0.61086553,-0.27410877,0.34323415,0.87852025,-0.74767154,0.81585544
2010-10-19,0.565232,-0.9460698,-0.18541166,-0.22849356,0.2138548,-0.41120943,0.92263615,-0.33919436,0.3505766,0.022883164,-0.61567014,-0.26995105,0.36094898,0.8873621,-0.7582357,0.82846177
2010-10-20,0.5576138,-0.9459877,-0.17295551,-0.22927198,0.19120978,-0.40809906,0.9239891,-0.34960344,0.32543805,0.044754494,-0.6152714,-0.25417405,0.37024584,0.90811324,-0.77735656,0.8419186
2010-10-21,0.55686617,-0.9460686,-0.14907719,-0.23453875,0.18392889,-0.41865134,0.91912186,-0.3484034,0.2954787,0.060412213,-0.6291491,-0.27862114,0.39288768,0.9136196,-0.7856985,0.8294775
2010-10-22,0.55305016,-0.94658846,-0.13396175,-0.23426615,0.16443734,-0.41628775,0.9192915,-0.35745358,0.2603063,0.08842896,-0.637385,-0.3015659,0.40798414,0.92216855,-0.78655344,0.83623725
2010-10-25,0.60479367,-0.9412931,-0.10055126,-0.2358357,0.14963606,-0.4077131,0.9127537,-0.3727503,0.2430008,0.10901734,-0.636305,-0.31427017,0.41439706,0.9305359,-0.7842349,0.83208674
2010-10-26,0.5975699,-0.9414025,-0.066996954,-0.2505298,0.12075251,-0.39059913,0.9111172,-0.40652815,0.2195826,0.13294896,-0.64309716,-0.31515723,0.4207763,0.93407154,-0.80139154,0.85045886
2010-10-27,0.606093,-0.94149023,-0.0364765,-0.2734099,0.10471201,-0.38365167,0.9087858,-0.42578444,0.20519042,0.14843406,-0.64370006,-0.32967597,0.42437756,0.93588763,-0.8048128,0.85357946
2010-10-28,0.60617274,-0.9422857,-0.008009822,-0.2928218,0.08851051,-0.37574676,0.907811,-0.44422385,0.18917562,0.16379061,-0.6446279,-0.34288824,0.42862213,0.9391712,-0.81065094,0.8586985
2010-10-29,0.6071427,-0.94176537,0.01895791,-0.31395888,0.07220268,-0.370486,0.9071403,-0.4641833,0.1665531,0.18023367,-0.647638,-0.3606585,0.43242997,0.94353664,-0.81556785,0.8642692
2010-11-01,0.60928375,-0.94167405,0.04156737,-0.33286652,0.06295577,-0.36297634,0.90419453,-0.47656408,0.1551978,0.18842037,-0.6425849,-0.37714583,0.431377,0.94288427,-0.81603616,0.86515474
2010-11-02,0.60266185,-0.9400827,0.057381317,-0.3628893,0.044975482,-0.3604897,0.9099717,-0.5075271,0.11739743,0.21572116,-0.6405297,-0.38484663,0.42639378,0.95106375,-0.8235829,0.88563937
2010-11-03,0.6460438,-0.9224144,0.109711066,-0.3640962,0.046908185,-0.33368874,0.8983972,-0.51964575,0.13133344,0.22649433,-0.64284295,-0.38024047,0.41286817,0.9560941,-0.8350572,0.8708671
2010-11-04,0.6892862,-0.91833323,0.16952878,-0.37750834,0.06269215,-0.29884544,0.8908904,-0.5413728,0.1440311,0.23141436,-0.6580026,-0.41798168,0.404181,0.9583526,-0.8238531,0.8583453
2010-11-05,0.67296755,-0.9325102,0.19893076,-0.4195014,0.07260755,-0.278075,0.88537675,-0.5620811,0.16068284,0.22676708,-0.6741895,-0.5007493,0.40429756,0.94145095,-0.8104635,0.852585
2010-11-08,0.6846544,-0.9320279,0.21718013,-0.4371055,0.06744055,-0.25958198,0.8803369,-0.5978157,0.16986232,0.2319594,-0.6904774,-0.5149991,0.38442367,0.93941253,-0.80713433,0.85412353
2010-11-09,0.6886353,-0.93503827,0.23338535,-0.4526539,0.06408005,-0.24023336,0.8787792,-0.6281548,0.17462051,0.24452603,-0.7036781,-0.5256217,0.37055302,0.94011027,-0.8052328,0.8573863
2010-11-10,0.6765341,-0.94202185,0.24171582,-0.4620082,0.053505965,-0.21587592,0.8747118,-0.64000714,0.16756229,0.25379562,-0.7120576,-0.5409099,0.34945005,0.9406643,-0.80362713,0.8580753
2010-11-11,0.6900137,-0.9403148,0.24903052,-0.47215953,0.049886573,-0.20233802,0.87403184,-0.6556599,0.16352685,0.2654908,-0.717418,-0.5602985,0.33124113,0.942959,-0.7946883,0.85528296
2010-11-12,0.6843604,-0.94216835,0.26678205,-0.47578633,0.039738208,-0.19158573,0.8681349,-0.67679125,0.14467226,0.28781056,-0.7209755,-0.57428515,0.31323248,0.9452951,-0.7952188,0.85571116
2010-11-15,0.6568044,-0.94629294,0.29239756,-0.47359064,0.013732142,-0.17050491,0.8483269,-0.6808996,0.12459075,0.30094036,-0.7134016,-0.5831144,0.29293782,0.9420526,-0.80438244,0.8481792
2010-11-16,0.67406976,-0.9438655,0.31222224,-0.47465605,0.0066823303,-0.16415837,0.8431707,-0.6942122,0.11757755,0.31061536,-0.70245785,-0.59884095,0.28265887,0.9461141,-0.7923931,0.8361507
2010-11-17,0.65352297,-0.9428135,0.3376048,-0.47802755,-0.026996702,-0.14187612,0.8228136,-0.6903741,0.10956042,0.32259327,-0.69054866,-0.5982013,0.2628629,0.9358527,-0.81158733,0.8338482
2010-11-18,0.7022369,-0.93660516,0.36512914,-0.48320425,-0.03753039,-0.13389714,0.82305145,-0.71132404,0.115070246,0.3221471,-0.6849458,-0.60731864,0.2465893,0.9421046,-0.7983094,0.8150352
2010-11-19,0.72981554,-0.9395429,0.38863328,-0.49831724,-0.02384937,-0.12953547,0.8170222,-0.71484935,0.12767957,0.29544714,-0.708069,-0.6635598,0.2425979,0.93641555,-0.7782252,0.7539867
2010-11-22,0.7448215,-0.9400209,0.40671393,-0.50122976,-0.032855492,-0.1132348,0.8063091,-0.7228234,0.1271749,0.2955429,-0.7177498,-0.6815353,0.2323143,0.9363036,-0.76752234,0.72593975
2010-11-23,0.7484897,-0.94086826,0.41316295,-0.50247914,-0.049942207,-0.09255872,0.794024,-0.73146236,0.12067475,0.29676956,-0.7206527,-0.6864353,0.22081617,0.9364742,-0.76060766,0.7145292
2010-11-24,0.7306126,-0.9424933,0.41799778,-0.5081837,-0.07589958,-0.05878905,0.7807597,-0.7209004,0.119561054,0.29940993,-0.7103072,-0.6834457,0.20780969,0.9354447,-0.76370776,0.71823245
2010-11-26,0.71847904,-0.9407053,0.40871483,-0.5279719,-0.07712617,-0.044509765,0.7791414,-0.7231068,0.12204955,0.28369382,-0.7181631,-0.70237666,0.2057608,0.9321743,-0.7495221,0.6828023
2010-11-29,0.6909346,-0.9416609,0.40435845,-0.53881407,-0.102257565,-0.013889069,0.7729653,-0.6978313,0.12740955,0.2886907,-0.7035885,-0.695986,0.19578637,0.92374235,-0.7555227,0.6994678
2010-11-30,0.6995743,-0.9371141,0.39406586,-0.5531278,-0.11104131,-0.003334779,0.77386886,-0.6977208,0.13115606,0.2708292,-0.7033933,-0.70463634,0.1849677,0.9236097,-0.73531556,0.66776127
2010-12-01,0.68126845,-0.9368111,0.38659197,-0.563998,-0.13310792,0.01773761,0.77590716,-0.6713593,0.13980518,0.26281852,-0.6892187,-0.7014748,0.17831588,0.9170754,-0.73618525,0.6709104
2010-12-02,0.6789762,-0.93502825,0.35873362,-0.5836612,-0.11845298,0.009770296,0.78964293,-0.6763159,0.14048079,0.23533174,-0.6968002,-0.7236807,0.18133414,0.9223937,-0.70558786,0.64387935
2010-12-03,0.6737474,-0.9327673,0.3208429,-0.5969794,-0.105609916,-0.00061980885,0.7856463,-0.66282403,0.12512186,0.21283986,-0.70654255,-0.7425274,0.17483956,0.9193107,-0.6776311,0.59967816
2010-12-06,0.7042073,-0.9288519,0.27358016,-0.5949695,-0.088400014,-0.01112503,0.78657687,-0.64882314,0.10972822,0.20354615,-0.70260423,-0.73500544,0.16067822,0.9259229,-0.6415818,0.57325256
2010-12-07,0.6936055,-0.9289381,0.22905333,-0.5899295,-0.07982229,-0.020894539,0.78608274,-0.63616,0.08763088,0.1970438,-0.6934773,-0.7293476,0.15172969,0.92768025,-0.6259075,0.5633162
2010-12-08,0.6747685,-0.9278115,0.18565938,-0.5855433,-0.063400425,-0.02870418,0.78946763,-0.62015015,0.07492979,0.19121952,-0.6857964,-0.72063184,0.14949553,0.92629737,-0.61492544,0.5559007
2010-12-09,0.6515618,-0.9244947,0.14482328,-0.57809716,-0.0437189,-0.035715416,0.79257166,-0.60407466,0.06532074,0.18343863,-0.6851237,-0.70854586,0.14878336,0.9204504,-0.6046887,0.54421914
2010-12-10,0.6411252,-0.92267936,0.104367435,-0.56365913,-0.018565113,-0.04436109,0.7974813,-0.5873814,0.056748886,0.17518517,-0.68130475,-0.6969638,0.1464739,0.9199146,-0.5834365,0.5327163
2010-12-13,0.60414606,-0.92080766,0.06961072,-0.5461736,-0.0013995854,-0.04477089,0.79972184,-0.5730686,0.05385645,0.16950442,-0.6794499,-0.6785269,0.14316006,0.9122958,-0.5796775,0.5379664
2010-12-14,0.57822907,-0.91827536,0.03687428,-0.5266866,0.016780652,-0.048249114,0.8124145,-0.5652095,0.052136987,0.16930847,-0.6810474,-0.65314347,0.14563404,0.9085829,-0.5669486,0.55004966
2010-12-15,0.5549838,-0.9180439,0.0010728291,-0.5004414,0.032881018,-0.04691302,0.82399815,-0.5510782,0.056590844,0.16892366,-0.6823832,-0.6346379,0.14348778,0.9069869,-0.552335,0.573064
2010-12-16,0.51800215,-0.92712206,-0.021655833,-0.47393396,0.044087663,-0.06785845,0.8401741,-0.55543315,0.034099743,0.18228556,-0.68014777,-0.6099801,0.16910654,0.91030043,-0.5677244,0.60285276
2010-12-17,0.49427986,-0.92823946,-0.042006165,-0.436872,0.06754201,-0.09078366,0.84328145,-0.5507806,0.012143554,0.18258558,-0.67679256,-0.59338063,0.19977723,0.9136632,-0.5717276,0.5981485
2010-12-20,0.5273387,-0.9240423,-0.07619297,-0.410578,0.088668905,-0.10780311,0.85500973,-0.5448693,-0.006989769,0.19480886,-0.6635584,-0.58189446,0.21685717,0.92405885,-0.5322003,0.58711475
2010-12-21,0.5016033,-0.92531365,-0.09845727,-0.38641348,0.09516751,-0.11450601,0.86207646,-0.5459675,-0.021044439,0.2087201,-0.6549583,-0.56611353,0.2314995,0.92450416,-0.52129257,0.598369
2010-12-22,0.4738659,-0.9244745,-0.11263722,-0.3634634,0.10438774,-0.12270962,0.8674491,-0.5434483,-0.024552288,0.21913548,-0.650288,-0.54659647,0.24393621,0.9217221,-0.51151997,0.6069644
2010-12-23,0.46316913,-0.9299249,-0.15317076,-0.3609029,0.10936854,-0.15465547,0.88505554,-0.53855455,-0.03332284,0.24367978,-0.65321827,-0.546838,0.25517312,0.9147683,-0.4890915,0.6218565
2010-12-27,0.45599878,-0.92623466,-0.17481059,-0.34244254,0.09913828,-0.17706408,0.89456224,-0.5593953,-0.042930104,0.27565742,-0.63658386,-0.5058024,0.24650794,0.9194306,-0.49694705,0.6678229
2010-12-28,0.42532498,-0.929575,-0.19034909,-0.34693807,0.088042594,-0.21193008,0.91432166,-0.5838958,-0.06726001,0.31859747,-0.6234678,-0.46792996,0.23650782,0.9253315,-0.5191447,0.7197853
2010-12-29,0.4243002,-0.9312442,-0.2046713,-0.3668339,0.08249222,-0.25496253,0.92711395,-0.5954481,-0.09851994,0.3633229,-0.60922164,-0.46056604,0.22733513,0.9324734,-0.52668107,0.7447358
2010-12-30,0.3999541,-0.9377636,-0.24110185,-0.40085202,0.06976392,-0.29554862,0.94808954,-0.61709636,-0.17389213,0.45041674,-0.55934334,-0.45152736,0.21487199,0.9552286,-0.5212803,0.78454924
2010-12-31,0.38024855,-0.935568,-0.22685692,-0.39264867,0.058388256,-0.3260767,0.93062377,-0.5794533,-0.16652451,0.46811864,-0.55653685,-0.45470098,0.21429038,0.9344745,-0.5412734,0.7609932
2011-01-03,0.3700099,-0.9291508,-0.17675513,-0.34252164,0.04872232,-0.3250218,0.89403886,-0.5211461,-0.09284174,0.44461018,-0.5882486,-0.41663405,0.22267455,0.90575445,-0.56992716,0.68587023
2011-01-04,0.38572028,-0.93035114,-0.15100047,-0.31872216,0.028905563,-0.3347591,0.89708763,-0.52609277,-0.06671994,0.43760562,-0.59655166,-0.38033485,0.23271443,0.90697086,-0.57737595,0.6823516
2011-01-05,0.41080308,-0.9319506,-0.13152806,-0.30338684,0.012804772,-0.3497931,0.89740634,-0.5174,-0.043947615,0.43765825,-0.61031604,-0.3552107,0.2444382,0.91182166,-0.5900411,0.6643949
2011-01-06,0.43141952,-0.93362355,-0.111653045,-0.29071736,-0.00053510105,-0.36047864,0.89412963,-0.5039904,-0.024572091,0.43650267,-0.63015246,-0.3435028,0.26006505,0.9140515,-0.6028974,0.6437085
2011-01-07,0.44389609,-0.9362706,-0.09575234,-0.28705955,-0.017372051,-0.3651022,0.88890314,-0.49030393,-0.007195718,0.43544123,-0.64391196,-0.32541654,0.27249902,0.9124967,-0.6252771,0.6373518
2011-01-10,0.48431697,-0.9375559,-0.08152624,-0.28456578,-0.03357454,-0.3773939,0.8837065,-0.48741618,-0.0007517722,0.4303221,-0.65947086,-0.31439415,0.27714315,0.9155069,-0.6414726,0.62170094
2011-01-11,0.5199021,-0.9366485,-0.06588185,-0.29456645,-0.047615077,-0.38713646,0.87883794,-0.4886542,0.0095688235,0.43094653,-0.6632081,-0.2947936,0.2784278,0.9145834,-0.66519314,0.6224597
2011-01-12,0.5679215,-0.93777335,-0.043950003,-0.29806772,-0.059310168,-0.40175995,0.87227064,-0.49377662,0.01513745,0.42095545,-0.68752277,-0.29872173,0.2782612,0.91622365,-0.6848793,0.59758395
2011-01-13,0.5877285,-0.9408802,-0.023833655,-0.29672095,-0.06382682,-0.4094769,0.8583449,-0.48166656,0.0360448,0.40069202,-0.7134005,-0.3094763,0.28790098,0.9070707,-0.7002294,0.5603183
2011-01-14,0.59963137,-0.9460348,-0.025945062,-0.29504675,-0.093106516,-0.40464786,0.8614792,-0.49250478,0.023562295,0.41089073,-0.73726076,-0.30894026,0.29021227,0.9133077,-0.7167153,0.5669759
2011-01-18,0.63642424,-0.9448857,-0.021831509,-0.30138838,-0.10950855,-0.4117369,0.84848964,-0.48644564,0.037024185,0.3950344,-0.75883055,-0.33114582,0.29843315,0.9036304,-0.72234154,0.5319076
2011-01-19,0.64669496,-0.9459394,-0.01755883,-0.29823124,-0.1349356,-0.40464056,0.84024763,-0.48796466,0.044635087,0.39627907,-0.7728484,-0.31785893,0.30671465,0.902617,-0.7409897,0.5301157
2011-01-20,0.6668558,-0.93617177,0.01780903,-0.2868243,-0.15506814,-0.3777902,0.82843703,-0.5096587,0.047796346,0.4102068,-0.7772152,-0.28474483,0.3072131,0.9255493,-0.76732373,0.55606306
2011-01-21,0.6949786,-0.9372352,0.05723466,-0.29989243,-0.17110209,-0.36505613,0.81991976,-0.5244727,0.046152618,0.40704504,-0.7748325,-0.2892727,0.312891,0.9276784,-0.78079224,0.5658597
2011-01-24,0.7154325,-0.93858767,0.09498028,-0.3211817,-0.18758878,-0.35612285,0.8134787,-0.54063785,0.03055907,0.40530846,-0.777414,-0.30558628,0.31855693,0.9329105,-0.7939804,0.5684539
2011-01-25,0.73856854,-0.93800974,0.13658488,-0.34662005,-0.19534431,-0.35441282,0.8005973,-0.55142015,0.015464407,0.3914812,-0.7885342,-0.35239947,0.33021075,0.9342245,-0.79964745,0.5396575
2011-01-26,0.7512468,-0.93840855,0.16950914,-0.37246203,-0.2028879,-0.34148514,0.7851692,-0.5617445,-0.00016653979,0.38072377,-0.79131675,-0.3805188,0.34062552,0.9344638,-0.8036228,0.52254665
2011-01-27,0.76868635,-0.93649983,0.19985628,-0.395213,-0.20231915,-0.33400956,0.7674529,-0.57444173,-0.013677744,0.35933205,-0.7992651,-0.41949475,0.35040548,0.9345698,-0.801513,0.4839433
2011-01-28,0.7797653,-0.9353533,0.22255021,-0.41436628,-0.20202936,-0.31785575,0.7463477,-0.5892463,-0.031028695,0.339578,-0.8044739,-0.44374818,0.3584509,0.9347603,-0.7998651,0.45209268
